extendedName,identification,description,name
(F1) Tomato Seed,Product ID: 3195,Vigorous rootstock with more generativity.,DRO141TX
Organic Pelleted Lettuce Seed,Product ID: 3883GP,Disease resistant Little Gem-type. Organic seed with NOP-compliant pelleting.,Spretnak
(F1) Tomato Seed,Product ID: 3918,Smooth pink greenhouse tomato.,Tomimaru Muchoo
(F1) Pepper Seed,Product ID: 3197,"Blocky, orange bell pepper for heated tunnel production.",Sympathy
Treated (F1) Cucumber Seed,Product ID: 3120T," 
                  Delicious snacker with incredible yields.",Unistars
Lettuce Seed,Product ID: 2574,"Classic, bright green lollo bionda color.",Livigna
(F1) Pepper Seed,Product ID: 3183,Blocky red bell pepper for heated greenhouse production.,Felicitas
(F1) Tomato Seed,Product ID: 3842,Excellent truss tomato for fresh market.,Clermon
(F1) Tomato Seed,Product ID: 3982,Red grape tomato for the greenhouse.,Pareso
(F1) Pepper Seed,Product ID: 3182,"Blocky, orange bell pepper for heated greenhouse production.",Orangela
(F1) Tomato Seed,Product ID: 3979,Orange grape tomato for the greenhouse.,Santorange
Pelleted Lettuce Seed,Product ID: 2574JP,Classic bright green lollo bionda color. Conventional seed with NOP-compliant pelleting.,Livigna
(F1) Pepper Seed,Product ID: 3184,"Blocky, yellow bell pepper for heated greenhouse production.",Bentley
Organic (F1) Tomato Plants,Product ID: 3942G,"Nice combination of size, taste, and earliness.",Big Beef/Estamino Grafted
Organic (F1) Tomato Plants,Product ID: 3221G,High yield with good flavor.,Geronimo/Maxifort Grafted
